layer_id,batch,tiles,status,cycles,energy_pj,mac_pj,buffer_pj,bus_pj,ubuf_pj,K,B,H,W
0,1,1,ok,225792,53633821.907999992,1560674.3039999998,45891976.159599997,0,6181171.4444000004,1,1,1,1
0,1,2,ok,112896,53648200.142399997,1560674.3039999998,45900171.282399997,0,6187354.5560000008,1,1,1,2
0,1,3,ok,75600,54024356.586599998,1567641.5999999999,46248697.360799998,0,6208017.6258000005,1,1,1,3
0,1,4,ok,56448,53688262.223999999,1560674.3039999998,45932115.659199998,0,6195472.2608000003,1,1,2,2
0,1,5,ok,45360,54029445.309000008,1567641.5999999996,46244454.516000003,0,6217349.1930000009,1,1,1,5
0,1,6,ok,37800,54038214.277199998,1567641.5999999999,46252825.185599998,0,6217747.4916000003,1,1,2,3
0,1,7,ok,32256,53720091.314400002,1560674.3039999998,45941146.896399997,0,6218270.114000001,1,1,1,7
0,1,8,ok,28224,53734622.649599992,1560674.3039999998,45962240.675199993,0,6211707.6704000002,1,1,2,4
0,1,9,ok,25200,54039198.378600001,1567641.5999999999,46252614.391199999,0,6218942.3874000004,1,1,1,9
0,1,10,ok,22680,54043888.338000014,1567641.5999999996,46251216.072000004,0,6225030.6660000002,1,1,2,5
0,1,11,ok,21168,55485525.76380001,1609445.3759999999,47488094.939999998,0,6387985.4478000011,1,1,1,11
0,1,12,ok,18900,54091252.461599998,1567641.5999999999,46286403.638400003,0,6237207.2232000008,1,1,4,3
0,1,13,ok,18144,56204832.387600005,1630347.264,48100157.352000006,0,6474327.7715999996,1,1,1,13
0,1,14,ok,16128,53787281.419200003,1560674.3039999998,45990546.330400005,0,6236060.7848000005,1,1,2,7
0,1,15,ok,15120,54073032.273000002,1567641.5999999999,46275523.523999996,0,6229867.1490000011,1,1,1,15
0,1,16,ok,14112,53816190.988799989,1560674.3039999998,46019835.231999993,0,6235681.4528000001,1,1,4,4
0,2,1,ok,451584,107258991.20159999,3121348.6079999995,91777120.498399988,0,12360522.0952,1,1,1,1
0,2,2,ok,225792,107267643.81599998,3121348.6079999995,91783952.319199994,0,12362342.888800001,1,2,1,1
0,2,3,ok,151200,108038126.92679998,3135283.1999999997,92492270.856000006,0,12410572.870800002,1,1,1,3
0,2,4,ok,112896,107296400.28479999,3121348.6079999995,91800342.564799994,0,12374709.112000002,1,2,1,2
0,2,5,ok,90720,108041246.874,3135283.1999999993,92480369.255999997,0,12425594.418000001,1,1,1,5
0,2,6,ok,75600,108048713.1732,3135283.1999999997,92497394.721599996,0,12416035.251600001,1,2,1,3
0,2,7,ok,64512,107379614.32800001,3121348.6079999995,91834471.047200009,0,12423794.672800001,1,1,1,7
0,2,8,ok,56448,107376524.448,3121348.6079999995,91864231.318399996,0,12390944.521600001,1,2,2,2
0,2,9,ok,50400,108046638.01800001,3135283.1999999997,92489857.185599998,0,12421497.6324,1,1,1,9
0,2,10,ok,45360,108052489.18800002,3135283.1999999993,92485352.592000008,0,12431853.396000002,1,1,2,5
0,2,11,ok,42336,110932235.29079999,3218890.7519999999,94957402.372799978,0,12755942.166000001,1,1,1,11
0,2,12,ok,37800,108076428.5544,3135283.1999999997,92505650.371199995,0,12435494.983200001,1,2,2,3
0,2,13,ok,36288,112363791.04080001,3260694.5279999999,96178111.286400005,0,12924985.226400001,1,1,1,13
0,2,14,ok,32256,107440182.6288,3121348.6079999995,91882293.792799994,0,12436540.228000002,1,2,1,7
0,2,15,ok,30240,108093133.314,3135283.1999999997,92525427.719999999,0,12432422.394000001,1,1,1,15
0,2,16,ok,28224,107469245.29919998,3121348.6079999995,91924481.350399986,0,12423415.3408,1,2,2,4
0,4,1,ok,903168,214509329.78879997,6242697.2159999991,183547409.17599997,0,24719223.3968,1,1,1,1
0,4,2,ok,451584,214517982.40319997,6242697.2159999991,183554240.99679998,0,24721044.190400001,1,2,1,1
0,4,3,ok,302400,216020928.32639998,6270566.3999999994,184951748.50559998,0,24798613.420800004,1,1,1,3
0,4,4,ok,225792,214535287.63199997,6242697.2159999991,183567904.63839999,0,24724685.777600002,1,4,1,1
0,4,5,ok,181440,216027985.824,6270566.3999999985,184955164.41600001,0,24802255.008000001,1,1,1,5
0,4,6,ok,151200,216037845.27360004,6270566.3999999994,184963203.07200003,0,24804075.801600002,1,1,2,3
0,4,7,ok,129024,214698660.35520002,6242697.2159999991,183621119.34880003,0,24834843.790400002,1,1,1,7
0,4,8,ok,112896,214592800.56959999,6242697.2159999991,183600685.12959999,0,24749418.224000003,1,4,1,2
0,4,9,ok,100800,216004116.6144,6270566.3999999994,184924012.03200001,0,24809538.182399999,1,1,1,9
0,4,10,ok,90720,216056180.736,6270566.3999999985,184974255.36000001,0,24811358.976000004,1,1,2,5
0,4,11,ok,84672,221763008.9664,6437781.5039999997,189850896.9984,0,25474330.464000005,1,1,1,11
0,4,12,ok,75600,216059017.76639995,6270566.3999999994,184973450.80319998,0,24815000.563200001,1,1,3,4
0,4,13,ok,72576,224641763.42399997,6521389.0559999999,192311826.96959999,0,25808547.398400001,1,1,1,13
0,4,14,ok,64512,214759228.65600002,6242697.2159999991,183668942.09440002,0,24847589.345600002,1,2,1,7
0,4,15,ok,60480,216031619.808,6270566.3999999994,184940590.46399999,0,24820462.944000002,1,1,1,15
0,4,16,ok,56448,214753048.896,6242697.2159999991,183728462.63679999,0,24781889.043200001,1,4,2,2
0,8,1,ok,1806336,429010006.96319997,12485394.431999998,367087986.53119999,0,49436626,1,1,1,1
0,8,2,ok,903168,429018659.57759994,12485394.431999998,367094818.35199994,0,49438446.7936,1,2,1,1
0,8,3,ok,604800,432031270.40640002,12541132.799999999,369898373.14560002,0,49591764.460800007,1,1,1,3
0,8,4,ok,451584,429035964.80639994,12485394.431999998,367108481.99359995,0,49442088.380800001,1,4,1,1
0,8,5,ok,362880,432038327.90400004,12541132.799999997,369901789.05600005,0,49595406.048000008,1,1,1,5
0,8,6,ok,302400,432041856.65279996,12541132.799999999,369903497.01119995,0,49597226.841600008,1,2,1,3
0,8,7,ok,258048,429336752.40960002,12485394.431999998,367194415.95200002,0,49656942.025600009,1,1,1,7
0,8,8,ok,225792,429070575.26399994,12485394.431999998,367135809.27679998,0,49449371.555200003,1,8,1,1
0,8,9,ok,201600,431976474.48960006,12541132.799999999,369832652.46720004,0,49602689.222399995,1,1,1,9
0,8,10,ok,181440,432055971.648,12541132.799999997,369910328.83200002,0,49604510.016000003,1,2,1,5
0,8,11,ok,169344,443487201.69599998,12875563.007999999,379683006.48959994,0,50928632.198400006,1,1,1,11
0,8,12,ok,151200,432075690.54720008,12541132.799999999,369926406.14400005,0,49608151.603200004,1,2,2,3
0,8,13,ok,145152,449237653.11360002,13042778.112,384601450.52160001,0,51593424.479999997,1,1,1,13
0,8,14,ok,129024,429397320.71040004,12485394.431999998,367242238.69760007,0,49669687.580800004,1,2,1,7
0,8,15,ok,120960,432010308.384,12541132.799999999,369855561.60000002,0,49613613.984000005,1,1,1,15
0,8,16,ok,112896,429185601.13919997,12485394.431999998,367201370.25919998,0,49498836.448000006,1,8,1,2
0,16,1,ok,3612672,858011361.31199992,24970788.863999996,734169141.24159992,0,98871431.206400007,1,1,1,1
0,16,2,ok,1806336,858020013.92639995,24970788.863999996,734175973.06239998,0,98873252,1,2,1,1
0,16,3,ok,1209600,864051954.56639993,25082265.599999998,739791622.42560005,0,99178066.540800005,1,1,1,3
0,16,4,ok,903168,858037319.15519989,24970788.863999996,734189636.70399988,0,98876893.587200001,1,4,1,1
0,16,5,ok,725760,864059012.06400013,25082265.599999994,739795038.33599997,0,99181708.128000021,1,1,1,5
0,16,6,ok,604800,864062540.81280005,25082265.599999998,739796746.29120004,0,99183528.921600014,1,2,1,3
0,16,7,ok,516096,858612936.51840007,24970788.863999996,734341009.15840006,0,99301138.496000007,1,1,1,7
0,16,8,ok,451584,858071929.61279988,24970788.863999996,734216963.9871999,0,98884176.761600003,1,8,1,1
0,16,9,ok,403200,863921190.24000013,25082265.599999998,739649933.33759999,0,99188991.302399993,1,1,1,9
0,16,10,ok,362880,864076655.80800009,25082265.599999994,739803578.11200011,0,99190812.096000016,1,2,1,5
0,16,11,ok,338688,886935587.1552,25751126.015999999,759347225.47199988,0,101837235.6672,1,1,1,11
0,16,12,ok,302400,864083713.30559993,25082265.599999998,739806994.0223999,0,99194453.683200017,1,4,1,3
