model,mode,batch,tiles,dram_mb,status,latency_seconds,energy_joules,edp_joule_seconds,best_sub_batch,elapsed_seconds
resnet50,nested,64,16,,completed,0.026850929812499997,0.1326616186248261,0.0035620878105078477,8,30.052618701942265
resnet50,serial,64,16,,completed,0.08042019908333348,0.08537948285342722,0.006866235008704674,8,0.8389730099588633
vgg19,nested,64,16,,completed,0.08015472866666666,0.30943568903618557,0.024802733694478492,8,6.135415975004435
vgg19,serial,64,16,,completed,0.07750468483333334,0.3173862294931456,0.024598919687306254,4,0.08326478605158627
googlenet,nested,64,16,,completed,0.010548425458333333,0.0359387180962544,0.00037909688890639477,8,33.58864790084772
googlenet,serial,64,16,,completed,0.026569602750000008,0.0337744008989696,0.0008973724150048656,8,1.0780526557937264
transformer_cell,nested,64,16,,completed,0.032470389333333335,0.1687921380358544,0.0054807464384299355,8,37.14452831889503
transformer_cell,serial,64,16,,completed,0.09813771733333333,0.10041202876088319,0.009854207295402092,4,1.1069699579384178
resnet50,nested,16,16,,completed,0.010194832833333334,0.024392635439571198,0.0002486788406708707,8,30.056090079946443
resnet50,serial,16,16,,completed,0.02010504977083337,0.021344870713356806,0.00042913968804404214,8,0.8217501700855792
resnet50,training,256,2,64,infeasible,,,,,
resnet50,training,256,2,256,completed,1.2725257754216666,3.32206711834624,4.22741603577637,2,0.002558934036642313
resnet50,training,256,2,32768,completed,0.7359190785066665,1.887999510839296,1.3894148602378917,32,0.004626233130693436
resnet101,training,256,2,64,infeasible,,,,,
resnet101,training,256,2,256,completed,2.0612171959408334,5.315340826093569,10.956071913030419,2,0.0033185931388288736
resnet101,training,256,2,32768,completed,1.1688245953066667,2.9451935430737928,3.4424146510830336,32,0.006624068133533001
googlenet,training,256,2,64,completed,0.400627003606875,1.02755899819008,0.41166788247417396,2,0.0034338380210101604
googlenet,training,256,2,256,completed,0.34244457266749995,0.867895153876992,0.29720598508960067,8,0.005038477014750242
googlenet,training,256,2,32768,completed,0.23796196731999997,0.597916464709632,0.14228137823532336,32,0.0068367100320756435
