network,mode,source_ref,batch_size,num_pes,timeout_sec,max_layers_per_block,input_blocks,scheduled_blocks,num_states,best_sub_batch,latency,energy,edp,sct_solver,met_solver,ok,status,error
alexnet,stage_level,src/nns/alexnet.cpp,64,16,120,32,9,1,1,32,1776315789.510160,1.148921,2040846606.690108,ortools-scip,ortools-scip,True,ok,
alexnet,layer_level,src/nns/alexnet.cpp,64,16,120,32,19,1,1,32,1776315789.510160,1.148921,2040846606.690108,ortools-scip,ortools-scip,True,ok,
darknet19,stage_level,src/nns/darknet19.cpp,64,16,120,32,2,1,1,32,2815789473.728400,1.402553,3949292936.350070,ortools-scip,ortools-scip,True,ok,
darknet19,layer_level,src/nns/darknet19.cpp,64,16,120,32,25,1,1,32,2815789473.728400,1.402553,3949292936.350070,ortools-scip,ortools-scip,True,ok,
densenet,stage_level,src/nns/densenet.cpp,64,16,120,32,9,6,11,32,2631668077.900086,0.038834,102197962.948537,ortools-scip,ortools-scip,True,ok,
densenet,layer_level,src/nns/densenet.cpp,64,16,120,32,126,4,7,32,3653605015.756818,2.602988,9510290350.228804,ortools-scip,ortools-scip,True,ok,
gnmt,stage_level,src/nns/gnmt.cpp,128,16,120,32,4,3,5,32,8566987356.745953,0.346698,2970157935.809072,ortools-scip,ortools-scip,True,ok,
gnmt,layer_level,src/nns/gnmt.cpp,128,16,120,32,82,3,5,32,14373182552.504028,0.220365,3167349444.684929,ortools-scip,ortools-scip,True,ok,
googlenet,stage_level,src/nns/googlenet.cpp,64,16,120,32,5,3,5,32,3406483642.408072,3.530590,12026897610.797615,ortools-scip,ortools-scip,True,ok,
googlenet,layer_level,src/nns/googlenet.cpp,64,16,120,32,72,3,5,32,4655768208.573024,5.393097,25109010627.342888,ortools-scip,ortools-scip,True,ok,
incep_resnet,stage_level,src/nns/incep_resnet.cpp,64,16,120,32,7,7,13,32,4078581363.004175,0.060093,245093904.603322,ortools-scip,ortools-scip,True,ok,
incep_resnet,layer_level,src/nns/incep_resnet.cpp,64,16,120,32,153,5,9,32,7761358623.775269,1.457818,11314647171.599857,ortools-scip,ortools-scip,True,ok,
llm,stage_level,src/nns/llm.cpp,128,16,120,32,3,3,5,32,23098228663.478176,1.267928,29286894144.630028,ortools-scip,ortools-scip,True,ok,
llm,layer_level,src/nns/llm.cpp,128,16,120,32,44,2,3,32,36346309561.911446,32.114723,1167251650296.345947,ortools-scip,ortools-scip,True,ok,
pnasnet,stage_level,src/nns/pnasnet.cpp,64,16,120,32,5,5,9,32,2837605066.887787,0.040793,115754169.352712,ortools-scip,ortools-scip,True,ok,
pnasnet,layer_level,src/nns/pnasnet.cpp,64,16,120,32,603,19,37,32,5589192025.183640,0.089179,498437481.524614,ortools-scip,ortools-scip,True,ok,
resnet,stage_level,src/nns/resnet.cpp,64,16,120,32,6,3,5,32,6268796149.251200,5.045891,31631659785.110676,ortools-scip,ortools-scip,True,ok,
resnet,layer_level,src/nns/resnet.cpp,64,16,120,32,72,3,5,32,7689526847.620384,6.224976,47867117305.220497,ortools-scip,ortools-scip,True,ok,
transformer,stage_level,src/nns/transformer.cpp,128,16,120,32,5,5,9,32,12097969389.302689,0.200939,2430952360.118403,ortools-scip,ortools-scip,True,ok,
transformer,layer_level,src/nns/transformer.cpp,128,16,120,32,471,15,29,16,47598449843.493774,0.756749,36020070716.496643,ortools-scip,ortools-scip,True,ok,
vgg,stage_level,src/nns/vgg.cpp,64,16,120,32,2,1,1,32,3473684210.581983,1.765579,6133063712.009637,ortools-scip,ortools-scip,True,ok,
vgg,layer_level,src/nns/vgg.cpp,64,16,120,32,21,1,1,32,3473684210.581983,1.765579,6133063712.009637,ortools-scip,ortools-scip,True,ok,
zfnet,stage_level,src/nns/zfnet.cpp,64,16,120,32,2,1,1,32,1605263157.927939,1.045684,1678598337.984858,ortools-scip,ortools-scip,True,ok,
zfnet,layer_level,src/nns/zfnet.cpp,64,16,120,32,11,1,1,32,1605263157.927939,1.045684,1678598337.984858,ortools-scip,ortools-scip,True,ok,
