network,mode,source_ref,batch_size,num_pes,timeout_sec,max_layers_per_block,hierarchical,hierarchy_depth,hierarchy_iters,hierarchy_theta,input_blocks,scheduled_blocks,num_states,best_sub_batch,latency,energy,edp,sct_solver,met_solver,hierarchy_note_count,ok,status,error
alexnet,stage_level,src/nns/alexnet.cpp,64,16,120,32,True,2,2,0.02,9,1,1,32,0.030687,0.020113,0.000617,ortools-scip,ortools-scip,4,True,ok,
alexnet,layer_level,src/nns/alexnet.cpp,64,16,120,32,True,2,2,0.02,19,1,1,32,0.030687,0.020113,0.000617,ortools-scip,ortools-scip,4,True,ok,
darknet19,stage_level,src/nns/darknet19.cpp,64,16,120,32,True,2,2,0.02,2,1,1,32,0.037178,0.024558,0.000913,ortools-scip,ortools-scip,4,True,ok,
darknet19,layer_level,src/nns/darknet19.cpp,64,16,120,32,True,2,2,0.02,25,1,1,32,0.037178,0.024558,0.000913,ortools-scip,ortools-scip,4,True,ok,
densenet,stage_level,src/nns/densenet.cpp,64,16,120,32,True,2,2,0.02,9,6,11,32,0.033842,0.015362,0.000520,ortools-scip,ortools-scip,9,True,ok,
densenet,layer_level,src/nns/densenet.cpp,64,16,120,32,True,2,2,0.02,126,4,7,32,0.048984,0.025130,0.001231,ortools-scip,ortools-scip,7,True,ok,
gnmt,stage_level,src/nns/gnmt.cpp,128,16,120,32,True,2,2,0.02,4,3,5,32,0.032824,0.006965,0.000229,ortools-scip,ortools-scip,5,True,ok,
gnmt,layer_level,src/nns/gnmt.cpp,128,16,120,32,True,2,2,0.02,82,3,5,32,0.124290,0.055276,0.006870,ortools-scip,ortools-scip,6,True,ok,
googlenet,stage_level,src/nns/googlenet.cpp,64,16,120,32,True,2,2,0.02,5,3,5,32,0.026242,0.015546,0.000408,ortools-scip,ortools-scip,6,True,ok,
googlenet,layer_level,src/nns/googlenet.cpp,64,16,120,32,True,2,2,0.02,72,3,5,32,0.045241,0.026335,0.001191,ortools-scip,ortools-scip,6,True,ok,
incep_resnet,stage_level,src/nns/incep_resnet.cpp,64,16,120,32,True,2,2,0.02,7,7,13,8,0.038771,0.011555,0.000448,ortools-scip,ortools-scip,10,True,ok,
incep_resnet,layer_level,src/nns/incep_resnet.cpp,64,16,120,32,True,2,2,0.02,153,5,9,32,0.029411,0.015249,0.000448,ortools-scip,ortools-scip,8,True,ok,
llm,stage_level,src/nns/llm.cpp,128,16,120,32,True,2,2,0.02,3,3,5,32,0.083008,0.018502,0.001536,ortools-scip,ortools-scip,4,True,ok,
llm,layer_level,src/nns/llm.cpp,128,16,120,32,True,2,2,0.02,44,2,3,32,0.533235,0.336048,0.179193,ortools-scip,ortools-scip,5,True,ok,
pnasnet,stage_level,src/nns/pnasnet.cpp,64,16,120,32,True,2,2,0.02,5,5,9,8,0.029973,0.006705,0.000201,ortools-scip,ortools-scip,7,True,ok,
pnasnet,layer_level,src/nns/pnasnet.cpp,64,16,120,32,True,2,2,0.02,603,19,37,32,0.017456,0.005906,0.000103,ortools-scip,ortools-scip,22,True,ok,
resnet,stage_level,src/nns/resnet.cpp,64,16,120,32,True,2,2,0.02,6,3,5,32,0.023038,0.017099,0.000394,ortools-scip,ortools-scip,10,True,ok,
resnet,layer_level,src/nns/resnet.cpp,64,16,120,32,True,2,2,0.02,72,3,5,32,0.051918,0.030870,0.001603,ortools-scip,ortools-scip,6,True,ok,
transformer,stage_level,src/nns/transformer.cpp,128,16,120,32,True,2,2,0.02,5,5,9,16,0.100311,0.019604,0.001966,ortools-scip,ortools-scip,5,True,ok,
transformer,layer_level,src/nns/transformer.cpp,128,16,120,32,True,2,2,0.02,471,15,29,8,0.447452,0.121164,0.054215,ortools-scip,ortools-scip,18,True,ok,
vgg,stage_level,src/nns/vgg.cpp,64,16,120,32,True,2,2,0.02,2,1,1,32,0.034493,0.036429,0.001257,ortools-scip,ortools-scip,6,True,ok,
vgg,layer_level,src/nns/vgg.cpp,64,16,120,32,True,2,2,0.02,21,1,1,32,0.046832,0.030914,0.001448,ortools-scip,ortools-scip,4,True,ok,
zfnet,stage_level,src/nns/zfnet.cpp,64,16,120,32,True,2,2,0.02,2,1,1,32,0.019957,0.020918,0.000417,ortools-scip,ortools-scip,6,True,ok,
zfnet,layer_level,src/nns/zfnet.cpp,64,16,120,32,True,2,2,0.02,11,1,1,32,0.027935,0.018306,0.000511,ortools-scip,ortools-scip,4,True,ok,
