network,mode,source_ref,batch_size,num_pes,input_blocks,scheduled_blocks,num_states,best_sub_batch,latency,energy,edp,sct_solver,met_solver,state_batches,ok,error
alexnet,stage_level,src/nns/alexnet.cpp,64,16,4,4,7,32,2150388755.432193,5.604679,12052238045.220583,ortools-scip,ortools-scip,"1,1,0,0,1,1,0",True,
alexnet,layer_level,src/nns/alexnet.cpp,64,16,9,9,17,16,2400553213.909379,0.036548,87736503.622202,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0",True,
darknet19,stage_level,src/nns/darknet19.cpp,64,16,4,4,7,32,3477038371.771171,5.227750,18177088835.788567,ortools-scip,ortools-scip,"2,0,0,0,2,0,0",True,
darknet19,layer_level,src/nns/darknet19.cpp,64,16,8,8,15,16,3758699934.340118,0.058022,218088362.075542,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,4,0,0,0,0,0,0,0",True,
densenet,stage_level,src/nns/densenet.cpp,64,16,4,4,7,32,3555927423.796108,10.225685,36361793817.048981,ortools-scip,ortools-scip,"0,0,2,0,0,0,2",True,
densenet,layer_level,src/nns/densenet.cpp,64,16,10,10,19,16,3913913595.933926,0.060694,237551940.450255,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0",True,
gnmt,stage_level,src/nns/gnmt.cpp,128,16,4,4,7,32,14934665398.260181,7.184954,107304881353.412582,ortools-scip,ortools-scip,"0,0,0,4,0,0,0",True,
gnmt,layer_level,src/nns/gnmt.cpp,128,16,8,8,15,16,15323462414.578590,0.235034,3601533112.421846,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,8,0,0,0,0,0,0,0",True,
googlenet,stage_level,src/nns/googlenet.cpp,64,16,4,4,7,32,5222826087.038552,2.600852,13583799610.375393,ortools-scip,ortools-scip,"0,0,0,2,0,0,0",True,
googlenet,layer_level,src/nns/googlenet.cpp,64,16,9,9,17,32,2755160550.458716,0.042180,116213245.737784,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0",True,
incep_resnet,stage_level,src/nns/incep_resnet.cpp,64,16,4,4,7,32,7722627737.296590,2.280134,17608629100.821507,ortools-scip,ortools-scip,"0,0,0,2,0,0,0",True,
incep_resnet,layer_level,src/nns/incep_resnet.cpp,64,16,8,8,15,16,8125960061.443932,0.124895,1014891425.555782,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,4,0,0,0,0,0,0,0",True,
llm,stage_level,src/nns/llm.cpp,128,16,4,4,7,32,45917476777.451027,19.380916,889922759368.388428,ortools-scip,ortools-scip,"0,0,0,4,0,0,0",True,
llm,layer_level,src/nns/llm.cpp,128,16,10,10,19,32,23234805421.950157,0.353857,8221794278.815089,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0",True,
pnasnet,stage_level,src/nns/pnasnet.cpp,64,16,4,4,7,32,5517459624.680571,2.002051,11046236936.790579,ortools-scip,ortools-scip,"0,0,0,2,0,0,0",True,
pnasnet,layer_level,src/nns/pnasnet.cpp,64,16,8,8,15,32,2807752110.173256,0.043034,120829361.716387,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,2,0,0,0,0,0,0,0",True,
resnet,stage_level,src/nns/resnet.cpp,64,16,4,4,7,32,8636794939.471716,3.013500,26026980431.600163,ortools-scip,ortools-scip,"0,0,0,2,0,0,0",True,
resnet,layer_level,src/nns/resnet.cpp,64,16,9,9,17,32,4558708959.376740,0.069382,316293026.091224,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0",True,
transformer,stage_level,src/nns/transformer.cpp,128,16,4,4,7,32,21310845038.929672,29.135644,620905191088.208618,ortools-scip,ortools-scip,"4,0,0,0,4,0,0",True,
transformer,layer_level,src/nns/transformer.cpp,128,16,8,8,15,16,23788242599.875805,0.368340,8762159551.371923,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,8,0,0,0,0,0,0,0",True,
vgg,stage_level,src/nns/vgg.cpp,64,16,4,4,7,32,4194891428.397597,8.613007,36130630083.293381,ortools-scip,ortools-scip,"1,1,0,0,1,1,0",True,
vgg,layer_level,src/nns/vgg.cpp,64,16,9,9,17,16,4688912809.472551,0.071711,336245513.245295,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0",True,
zfnet,stage_level,src/nns/zfnet.cpp,64,16,4,4,7,32,1944331915.428352,5.129105,9972683252.910770,ortools-scip,ortools-scip,"1,1,0,0,1,1,0",True,
zfnet,layer_level,src/nns/zfnet.cpp,64,16,9,9,17,4,8663562281.722935,0.132131,1144729178.477249,ortools-scip,ortools-scip,"0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0",True,
