network,source_ref,batch_size,best_sub_batch,state_order,state_batches,active_states,latency,energy,edp,detail_file
alexnet,src/nns/alexnet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,4593750000.000000,148.316850,681330529687.500122,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\alexnet.txt
darknet19,src/nns/darknet19.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,7281944444.444445,179.687750,1308476212847.222168,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\darknet19.txt
densenet,src/nns/densenet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,7554166666.666666,331.578500,2504799252083.333008,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\densenet.txt
gnmt,src/nns/gnmt.cpp,128,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,1,1,1,1,0,0",4,37673611111.111107,815.340000,30716802083333.335938,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\gnmt.txt
googlenet,src/nns/googlenet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,10548611111.111111,204.506500,2157259538194.444580,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\googlenet.txt
incep_resnet,src/nns/incep_resnet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,15652777777.777775,211.257200,3306762005555.555176,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\incep_resnet.txt
llm,src/nns/llm.cpp,128,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,1,1,1,1,0,0",4,113194444444.444443,1836.420000,207872541666666.656250,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\llm.txt
pnasnet,src/nns/pnasnet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,10820833333.333332,178.695000,1933628812499.999756,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\pnasnet.txt
resnet,src/nns/resnet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,17422222222.222221,234.686100,4088753386666.666504,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\resnet.txt
transformer,src/nns/transformer.cpp,128,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,1,1,1,1,0,0",4,58854166666.666664,1143.000000,67270312500000.007812,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\transformer.txt
vgg,src/nns/vgg.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,8983333333.333332,226.347000,2033350550000.000000,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\vgg.txt
zfnet,src/nns/zfnet.cpp,64,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"0,0,1,1,0,0,0",2,4151388888.888888,135.014000,560495619444.444458,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_213644\zfnet.txt
