network,source_ref,batch_size,best_sub_batch,num_blocks,num_states,state_order,state_batches,active_states,latency,energy,edp,detail_file
alexnet,src/nns/alexnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,1,1,0,1",3,14524611049.277790,238.392500,3462558339564.955566,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\alexnet.txt
darknet19,src/nns/darknet19.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,1,1,0,1",3,23202828119.244900,289.095000,6707821595133.104492,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\darknet19.txt
densenet,src/nns/densenet.cpp,64,32,4,7,S0 -> S1 -> S2 -> S3 -> S4 -> S5 -> S6,"0,0,1,1,0,0,1",3,15211293875.999992,599.840000,9124342518579.835938,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\densenet.txt
gnmt,src/nns/gnmt.cpp,128,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,1,2,1,1",5,98507087172.484879,1353.790000,133357909543238.296875,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\gnmt.txt
googlenet,src/nns/googlenet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,0,1,1,0",3,34388647025.136612,323.090000,11110627967351.388672,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\googlenet.txt
incep_resnet,src/nns/incep_resnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,1,1,0,1",3,51272147413.240738,339.400000,17401766832053.908203,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\incep_resnet.txt
llm,src/nns/llm.cpp,128,32,4,7,S0 -> S1 -> S2 -> S3 -> S4 -> S5 -> S6,"1,1,1,1,1,1,1",7,233801400639.626831,3200.200000,748211242326933.875000,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\llm.txt
pnasnet,src/nns/pnasnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,1,1,0,1",3,32984070736.778229,287.530000,9483909858945.843750,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\pnasnet.txt
resnet,src/nns/resnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,0,1,1,0",3,55675103776.520653,370.800000,20644328480333.863281,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\resnet.txt
transformer,src/nns/transformer.cpp,128,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,1,2,1,1",5,158274003577.691986,1895.580000,300021035701801.375000,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\transformer.txt
vgg,src/nns/vgg.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,1,1,0,1",3,28505551618.299183,363.890000,10372885178382.888672,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\vgg.txt
zfnet,src/nns/zfnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,1,1,0,1",3,13143464614.798189,217.325000,2856403447411.016602,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_000910\zfnet.txt
