network,source_ref,batch_size,best_sub_batch,num_blocks,num_states,state_order,state_batches,active_states,latency,energy,edp,detail_file,html_file
alexnet,src/nns/alexnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,1,0,1,1",4,8426865570.279054,2.183565,18400606109.248241,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\alexnet.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\alexnet.html
darknet19,src/nns/darknet19.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,1,0,1,1",4,13355251103.476559,2.764277,36917608318.217735,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\darknet19.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\darknet19.html
densenet,src/nns/densenet.cpp,64,32,4,7,S0 -> S1 -> S2 -> S3 -> S4 -> S5 -> S6,"1,1,0,0,1,1,0",4,14365744544.675453,3.845858,55248608960.469368,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\densenet.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\densenet.html
gnmt,src/nns/gnmt.cpp,128,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"3,1,0,3,1",4,53466888726.595810,10.846158,579910317745.498657,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\gnmt.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\gnmt.html
googlenet,src/nns/googlenet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,1,0,1,1",4,18714908642.714691,2.531893,47384144323.235222,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\googlenet.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\googlenet.html
incep_resnet,src/nns/incep_resnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,1,0,1,1",4,27925247955.107315,3.046664,85078854089.753021,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\incep_resnet.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\incep_resnet.html
llm,src/nns/llm.cpp,128,32,4,7,S0 -> S1 -> S2 -> S3 -> S4 -> S5 -> S6,"1,1,1,1,1,1,1",7,175263765310.488831,17.031572,2985017515837.772949,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\llm.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\llm.html
pnasnet,src/nns/pnasnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,1,0,1,1",4,19766889156.438915,2.652876,52439103632.349037,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\pnasnet.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\pnasnet.html
resnet,src/nns/resnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,1,0,1,1",4,30591189352.670883,2.938506,89892405814.169418,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\resnet.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\resnet.html
transformer,src/nns/transformer.cpp,128,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"3,1,0,3,1",4,80548958729.384888,14.863043,1197202626859.427490,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\transformer.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\transformer.html
vgg,src/nns/vgg.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,1,0,1,1",4,16428125688.200951,3.300814,54226191422.360039,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\vgg.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\vgg.html
zfnet,src/nns/zfnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"1,1,0,1,1",4,7623269924.872192,2.023069,15422401086.242552,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\zfnet.txt,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260307_224808\zfnet.html
