network,profile_file,batch_size,best_sub_batch,state_order,state_categories,state_batches,active_states,latency,energy,edp,solver
alexnet,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/alexnet.json,64,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,0,1,0,0,0",1,1875000000.000000,76.941000,144264375000.000000,ortools-scip
attention_group_builder,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/attention_group_builder.json,96,32,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,1,1,1,0,0",3,22208333333.333332,858.772000,19071894833333.335938,ortools-scip
darknt19,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/darknt19.json,64,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,0,1,0,0,0",1,2972222222.222222,93.215000,277055694444.444458,ortools-scip
densenet,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/densenet.json,64,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,0,1,0,0,0",1,3083333333.333333,172.010000,530364166666.666687,ortools-scip
gnmt,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/gnmt.json,128,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,1,1,0,0,0",2,14768055555.555553,424.897000,6274902501388.888672,ortools-scip
googlenet,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/googlenet.json,64,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,0,1,0,0,0",1,4305555555.555555,106.090000,456776388888.888855,ortools-scip
incep_resnet,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/incep_resnet.json,64,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,0,1,0,0,0",1,6388888888.888888,109.592000,700171111111.111084,ortools-scip
llm,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/llm.json,128,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,1,1,0,0,0",2,44372222222.222221,957.011000,42464704761111.117188,ortools-scip
pnasnet,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/pnasnet.json,64,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,0,1,0,0,0",1,4416666666.666667,92.700000,409425000000.000061,ortools-scip
resnet,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/resnet.json,64,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,0,1,0,0,0",1,7111111111.111111,121.746000,865749333333.333374,ortools-scip
transformer,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/transformer.json,128,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,1,1,0,0,0",2,23070833333.333332,595.650000,13742141875000.001953,ortools-scip
transformer_fused,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/transformer_fused.json,128,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,1,1,0,0,0",2,15380555555.555553,289.883000,4458561586111.111328,ortools-scip
transformer_grouped,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/transformer_grouped.json,128,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,1,1,0,0,0",2,18102777777.777775,458.650500,8302848079166.666016,ortools-scip
transformer_semifused,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/transformer_semifused.json,128,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,1,1,0,0,0",2,17966666666.666664,454.679500,8169075016666.666016,ortools-scip
transformer_semigrouped,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/transformer_semigrouped.json,128,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,1,1,0,0,0",2,17286111111.111107,446.737500,7722354062499.998047,ortools-scip
vgg,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/vgg.json,64,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,0,1,0,0,0",1,3666666666.666667,117.420000,430540000000.000000,ortools-scip
zfnet,C:/Users/Happend Outerwall/OneDrive/南京大学在线/Crane/set_network_src/profiles/zfnet.json,64,64,W0 -> W1 -> W2 -> M -> D0 -> D1 -> D2,"warmup,warmup,warmup,steady,drain,drain,drain","0,0,0,1,0,0,0",1,1694444444.444444,70.040000,118678888888.888901,ortools-scip
